Rank,Transformer
1,FeatureReader
2,TestFilter
3,AttributeManager
4,FeatureWriter
5,HTTPCaller
6,AttributeCreator
7,FeatureJoiner
8,Tester
9,FeatureMerger
10,SpatialFilter
11,NeighborFinder
12,PythonCaller
13,Aggregator
14,Creator
15,GeometryFilter
16,SQLCreator
17,JSONTemplater
18,SchemaMapper
19,HTMLReportGenerator
20,Clipper
21,TopologyBuilder
22,NoFeatureTester
23,StringSearcher
24,Sorter
25,SystemCaller
26,Dissolver
27,Reprojector
28,Sampler
29,Logger
30,Terminator
31,SQLExecutor
32,SpatialRelator
33,VertexCreator
34,InlineQuerier
35,AttributeDereferencer
36,Chopper
37,FileExistenceChecker
38,AttributeEncoder
39,DatabaseJoiner
40,RasterConvolver
41,Cloner
42,WebpageOpener
43,Decelerator
44,GeometryPartExtractor
45,RasterExpressionEvaluator
46,AreaGapAndOverlapCleaner
47,DateTimeCalculator
48,JSONFlattener
49,ShortestPathFinder
50,FeatureFlowValve
51,HTMLExtractor
52,GeometryValidator
53,CRCCalculator
54,XMLTemplater
55,AttributeValueMapper
56,ChangeDetector
57,StatisticsCalculator
58,SchemaScanner
59,DuplicateFilter
60,KMLStyler
61,UUIDGenerator
62,StringFormatter
63,RasterAlphaBandAdder
64,AttributeKeeper
65,JSONFragmenter
